id,douban_id,name,year,rating
446,1297052,侧耳倾听 耳をすませば,1995,8.8
447,2129039,飞屋环游记 Up,2009,8.9
448,4848115,你看起来好像很好吃 おまえうまそうだな,2010,8.8
449,5989818,萤火之森 蛍火の杜へ,2011,8.7
450,2037012,革命之路 Revolutionary Road,2008,8.0
451,1291999,重庆森林 重慶森林,1994,8.6
452,1296339,爱在黎明破晓前 Before Sunrise,1995,8.7
453,1308817,两小无猜 Jeux d'enfants,2003,8.1
454,1291557,花样年华 花樣年華,2000,8.5
455,3072086,和莎莫的500天 (500) Days of Summer,2009,8.0
456,1485260,本杰明·巴顿奇事 The Curious Case of Benjamin Button,2008,8.7
457,1291853,英国病人 The English Patient,1996,8.4
458,1305164,甜蜜蜜,1996,8.7
459,1293964,魂断蓝桥 Waterloo Bridge,1940,8.8
460,1296753,卡萨布兰卡 Casablanca,1942,8.6
461,1418200,傲慢与偏见 Pride & Prejudice,2005,8.4
462,1325958,蒂凡尼的早餐 Breakfast at Tiffany's,1961,8.1
463,1294408,音乐之声 The Sound of Music,1965,8.9
464,1292370,剪刀手爱德华 Edward Scissorhands,1990,8.7
465,1418834,断背山 Brokeback Mountain,2005,8.6
466,1298038,诺丁山 Notting Hill,1999,7.9
467,1309172,初恋50次 50 First Dates,2004,7.9
468,1309163,恋恋笔记本 The Notebook,2004,8.5
469,3023164,点球成金 Moneyball,2011,8.2
470,2056093,斗士 The Fighter,2010,7.9
471,3236904,自闭历程 Temple Grandin,2010,8.8
472,1293050,永不妥协 Erin Brockovich,2000,8.3
473,1307535,奔腾年代 Seabiscuit,2003,8.4
474,1291832,低俗小说 Pulp Fiction,1994,8.7
475,1301726,兵临城下 Enemy at the Gates,2001,8.3
476,1433990,风雨哈佛路 Homeless to Harvard: The Liz Murray Story,2003,8.1
477,2363506,地球上的星星 Taare Zameen Par,2007,8.8
478,3552028,弱点 The Blind Side,2009,8.4
479,1294753,追梦赤子心 Rudy,1993,8.8
480,1292943,光辉岁月 Remember the Titans,2000,8.6
481,1457219,光荣之路 Glory Road,2006,8.5
482,2136824,成事在人 Invictus,2009,8.1
483,1309017,卡特教练 Coach Carter,2005,8.3
484,3287562,神偷奶爸 Despicable Me,2010,8.5
485,6534248,无敌破坏王 Wreck-It Ralph,2012,8.6
486,4202982,冰雪奇缘 Frozen,2013,8.3
487,1291579,"怪兽电力公司 Monsters, Inc.",2001,8.6
488,11026735,超能陆战队 Big Hero 6,2014,8.6
489,3731581,里约大冒险 Rio,2011,8.4
490,2353023,驯龙高手 How to Train Your Dragon,2010,8.7
491,1291578,冰川时代 Ice Age,2002,8.4
492,3233635,功夫熊猫2 Kung Fu Panda 2,2011,8.0
493,10808442,爱在午夜降临前 Before Midnight,2013,8.7
494,4191644,一天 One Day,2011,7.8
495,6722879,她 Her,2013,8.3
496,2161696,他其实没那么喜欢你 He's Just Not That Into You,2009,7.7
497,4305436,志明与春娇 志明與春嬌,2010,8.0
498,1304585,BJ单身日记 Bridget Jones's Diary,2001,7.5
499,3077791,在云端 Up in the Air,2009,7.9
500,6803494,极速风流 Rush,2013,8.8
501,2336737,米尔克 Milk,2008,8.3
502,10463953,模仿游戏 The Imitation Game,2014,8.5
